铁板五花肉炒饭&一食堂三楼DIY铁板拌饭$15元#选用肥瘦相间的五花肉搭配秘制酱料促成的经典制作
“华理路标”咖啡&华理咖啡屋$16元#来自ECUSTer的满分实验报告 | “路标”在手，满绩都有！
咖喱鸡排饭&一食堂三楼咖喱饭$15元#碳水炸弹狂欢 | 碳水界美食天花板，你值得拥有！
黑椒里脊饭&一食堂三楼DIY铁板拌饭$15元#一口超满足 | 浓郁芳香+细腻口感，从舌尖到脑后
芝士肉酱拌饭&一食堂三楼韩式拌饭$15元#“芝士控”必吃 | 好吃不容错过，芝士就是力量
烤盘饭&一食堂西餐厅韩式烤盘饭$称重#满满一盘大快朵颐 | 天晴了雨停了我又觉得我行了~
黑椒香酥鸡&一食堂一楼千岛香酥鸡$16元#一口下去“嘎吱嘎吱” | 是谁的美食雷达开启了！
土豆牛腩煲仔饭&一食堂三楼煲仔饭$18元#热腾腾香喷喷 | 是不是来到了你的“快乐星球”？
牛肉饭&二食堂二楼F+牛肉饭$17元#治愈家常菜 | 经久不厌，整个是一个炸开！
石锅鱼片&一食堂二楼特色石锅菜$15元#知食份子 | 石锅是人间必备，鱼肉乃济世良方
香酥鸡腿饭&一食堂三楼煲仔饭$15元#梦中煲仔饭 | 人生苦短，再来一碗
咖喱脆皮鸡饭&一食堂三楼炎炎脆皮鸡饭$15元#不负好时光 | 脆皮嫩肉，唇齿留香，美食在肚
金针菇黄焖鸡&一食堂一楼黄焖鸡米饭$15元#“炒鸡香菇” | 曾经沧海难为水，现在香菇配鸡腿
四级花酥&花栗食社活动限定$18.8元#不吃馋也 | 高颜值风味花酥入手不亏
面包一号&一食堂三楼学府餐饮$5元# “面面”俱到 | 卡路里充值成功！
面包二号&一食堂三楼学府餐饮$5元#“包”罗万象 | 又是被碳水围绕的幸福
饭包&忆民韵活动自制$免费#烟火人间 | 菜包住饭，爱包围你！
烧汁虾&一食堂二楼烧汁虾米饭$18元#皮皮虾我们走 | 虾抓住我的嘴，绽放我的味蕾
大大大碗面&一食堂二楼大大大碗粉/面$10元#持证赏味官 | 热腾腾的大碗面，融化内心的孤岛
麻辣香锅&一食堂一楼麻辣香锅$称重#香辣过瘾 | 快乐肥宅锅，一锅一世界！
老鸭粉丝汤&一食堂二楼老沪点$13元#经典美食 | 一口汤一口肉，人间有味是清欢
红糖发糕&一卡司$2元#幸福特供 | 愿你甜甜蜜蜜，步步登高！
奶黄包&一卡司$2元#元气早餐 | 松软香甜，“包”你喜欢！
炸鸡&一卡司$14元#零食天花板 | 香酥可口，快来实现炸鸡自由！
铁板意面&一食堂三楼DIY铁板拌饭$15元#干饭必吃 | 铁板一来，烦恼拜拜
华理红烧肉&各层打饭窗口$8元#必点美食 | 华理红烧肉，经典永流传！
馄饨&一食堂一楼阿香馄饨$10元#鲜汤味美 | 百吃不厌家常菜，至简美味千里香
麻辣烫&一食堂三楼麻辣香锅$称重#食堂必备 | 万物皆可麻辣烫，美味好吃又健康
老母鸡汤+葱油饼&一食堂三楼齐鲁牛肉汤$10~13元#鸡汤来喽 | 用鸡汤温暖你的胃，用葱饼填满你的心
渔粉&一卡司$15元#吃货强推 | 分量足，粉劲道，好吃到上头
水果&同学果业/华兴水果店$称重#解暑必备 | 夏日吃水果，清美又爽口！
草莓牛奶&图书馆内小店$10元#喝“亿”杯 | 一口丝滑到底，酸酸甜甜就是你！
老成都红烧牛肉面&一食堂三楼牛百碗$17元#红烧牛肉面 | 问就是一个字，“绝”！
小笼包&一食堂二楼老沪点$7元#一口爆汁 | 个个鲜嫩多汁，皮薄馅多，超级好吃！
饺子&一食堂二楼美润水饺$12~18元
番茄小酥肉&二食堂二楼猪肚鸡米饭$15元#好吃不踩雷 | 番茄酸甜开胃，酥肉好吃到嗨
番茄油泼面&一食堂三楼茄汁面$15元#热油嗞啦啦 | 行走千万里，心系不过一碗乡味
芝士奥尔良烤鸡排焗饭&一卡司$15元#无敌拉丝 | 芝士加烤鸡，永远YYDS！
鸡蛋仔&一食堂一楼拾觉奶茶$10元#童年的味道 | 一口外酥里软，奶香浓郁！
